subject,modality,trial,signal,response,accuracy,confidence,rt,rt_conf,contrast,repeat_exclude
37,GDP,146,0,0,1,7,2.41726179999932,1.60472269999991,0.975,0
37,GDP,147,0,0,1,7,0.953119200000401,1.42288970000027,0.975,1
37,GDP,148,1,0,0,4,2.72938680000061,2.22045640000033,1.1,0
37,Calories,149,0,0,1,5,0.984682499999508,3.87077479999971,126,0
37,GDP,150,0,0,1,4,1.15811190000022,1.05443430000014,1.1,0
37,Calories,151,0,1,0,4,1.98233249999976,1.15440990000025,151,0
37,GDP,152,1,1,1,6,1.15520000000015,1.62215180000021,0.975,0
37,Calories,153,0,0,1,7,2.26441220000015,1.23995000000014,151,0
37,GDP,154,1,1,1,4,1.95882210000036,1.4049969000007,0.975,0
37,GDP,155,0,1,0,NaN,1.49769279999964,NaN,1.1,1
37,GDP,156,1,1,1,4,4.40466529999958,1.12179830000059,1.1,0
37,Calories,157,0,1,0,7,0.957100599999649,1.32090009999956,176,0
37,GDP,158,0,1,0,4,2.62489219999952,1.27184980000038,1.225,0
37,GDP,159,1,0,0,4,1.21982329999992,1.83714989999953,1.35,1
37,Calories,160,1,1,1,7,1.40292219999992,1.23763509999935,176,0
37,GDP,161,1,1,1,6,2.14402539999992,2.25541989999965,1.35,0
37,GDP,162,1,0,0,3,2.75922690000061,1.15425070000038,1.475,0
37,Calories,163,1,1,1,6,1.53116229999978,1.37186460000066,151,0
37,Calories,164,0,0,1,6,1.68186059999971,0.872558799999751,151,0
37,Calories,165,1,1,1,2,1.22988209999949,1.03791899999942,126,1
37,GDP,166,0,1,0,4,1.38704280000002,1.75520629999937,1.6,1
37,Calories,167,1,0,0,4,2.57025570000042,1.59002680000049,151,0
37,GDP,168,1,1,1,2,4.0892731999993,1.90508130000035,1.6,0
37,GDP,169,1,1,1,4,3.13280529999975,1.0380255,1.475,0
37,Calories,170,0,0,1,6,1.50102779999997,0.855463500000042,151,0
37,Calories,171,0,0,1,7,1.57502859999931,1.02303040000061,126,0
37,Calories,172,0,0,1,5,0.947504799999479,1.55498739999985,126,0
37,GDP,173,1,1,1,7,1.85121900000013,1.55594419999943,1.475,0
